U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1690224238893186000,19:43:58.893736,H,THE_DANCE,P
1690224248895296000,19:44:08.895597,H,THE_DANCE,P
1690224258897512000,19:44:18.898260,H,THE_DANCE,P
1690224268900591000,19:44:28.901108,H,THE_DANCE,P
1690224278902754000,19:44:38.903344,H,THE_DANCE,P
1690224288904744000,19:44:48.905292,H,THE_DANCE,P
1690224298906458000,19:44:58.907043,H,THE_DANCE,P
1690224308908544000,19:45:08.908936,H,THE_DANCE,P
1690224318910457000,19:45:18.911056,H,THE_DANCE,P
1690224328912641000,19:45:28.913174,H,THE_DANCE,P
1690224338915363000,19:45:38.915941,H,THE_DANCE,P
1690224348917527000,19:45:48.918110,H,THE_DANCE,P
1690224358919744000,19:45:58.920333,H,THE_DANCE,P
1690224368921932000,19:46:08.922527,H,THE_DANCE,P
1690224378923808000,19:46:18.924275,H,THE_DANCE,P
1690224388924842000,19:46:28.925464,H,THE_DANCE,P
1690224398926983000,19:46:38.927558,H,THE_DANCE,P
1690224408929085000,19:46:48.929544,H,THE_DANCE,P
1690224418930675000,19:46:58.931195,H,THE_DANCE,P
1690224428932574000,19:47:08.933084,H,PLANT_CARE,P
1690224438934691000,19:47:18.935263,H,PLANT_CARE,P
1690224448936911000,19:47:28.937488,H,PLANT_CARE,P
1690224458939107000,19:47:38.939668,H,PLANT_CARE,P
1690224468941291000,19:47:48.941887,H,PLANT_CARE,P
1690224477622634000,19:47:57.623363,CHANGE_COSTUME,PLANT_CARE,P
1690224478943526000,19:47:58.944028,H,PLANT_CARE,P
1690224488945283000,19:48:08.945884,H,PLANT_CARE,P
1690224498947296000,19:48:18.947832,H,PLANT_CARE,P
1690224508949215000,19:48:28.949680,H,PLANT_CARE,P
1690224517222691000,19:48:37.223139,PERFORMER_TALK,PLANT_CARE,P
1690224518951233000,19:48:38.951765,H,PLANT_CARE,P
1690224524092915000,19:48:44.093397,LAUGHING,PLANT_CARE,P
1690224528952461000,19:48:48.952848,H,PLANT_CARE,P
1690224538954223000,19:48:58.954698,H,PLANT_CARE,P
1690224548956283000,19:49:08.956865,H,PLANT_CARE,P
1690224558958473000,19:49:18.959060,H,PLANT_CARE,P
1690224568960632000,19:49:28.961198,H,PLANT_CARE,P
1690224578961903000,19:49:38.962412,H,PLANT_CARE,P
1690224588963958000,19:49:48.964319,H,PLANT_CARE,P
1690224598965672000,19:49:58.966032,H,EATING_DRINKING,NP
1690224608967516000,19:50:08.968082,H,EATING_DRINKING,NP
1690224618969505000,19:50:18.969905,H,EATING_DRINKING,NP
1690224628971336000,19:50:28.971897,H,EATING_DRINKING,NP
1690224635808329000,19:50:35.808882,use the fan,EATING_DRINKING,NP
1690224638973499000,19:50:38.974068,H,EATING_DRINKING,NP
1690224648975660000,19:50:48.976242,H,EATING_DRINKING,NP
1690224658977798000,19:50:58.978354,H,EATING_DRINKING,NP
1690224668979943000,19:51:08.980507,H,EATING_DRINKING,NP
1690224678982080000,19:51:18.982545,H,EATING_DRINKING,NP
1690224688984132000,19:51:28.984702,H,GRIEF_EXERCISE,P
1690224698985382000,19:51:38.985731,H,GRIEF_EXERCISE,P
1690224699776979000,19:51:39.777216,CHANGE_COSTUME,GRIEF_EXERCISE,P
1690224708987164000,19:51:48.987730,H,GRIEF_EXERCISE,P
1690224718989149000,19:51:58.989720,H,GRIEF_EXERCISE,P
1690224728991242000,19:52:08.991828,H,GRIEF_EXERCISE,P
1690224738993320000,19:52:18.993732,H,GRIEF_EXERCISE,P
1690224748995228000,19:52:28.995824,H,GRIEF_EXERCISE,P
1690224758997396000,19:52:38.997757,H,GRIEF_EXERCISE,P
1690224768999188000,19:52:48.999780,H,GRIEF_EXERCISE,P
1690224779001244000,19:52:59.001741,H,GRIEF_EXERCISE,P
1690224789003058000,19:53:09.003428,H,GRIEF_EXERCISE,P
1690224799004816000,19:53:19.005367,H,GRIEF_EXERCISE,P
1690224803045885000,19:53:23.046266,PHONE DROP AUDIENCE,GRIEF_EXERCISE,P
1690224809006900000,19:53:29.007458,H,GRIEF_EXERCISE,P
1690224819008977000,19:53:39.009565,H,GRIEF_EXERCISE,P
1690224829010988000,19:53:49.011745,H,GRIEF_EXERCISE,P
1690224839013196000,19:53:59.013784,H,GRIEF_EXERCISE,P
1690224849015438000,19:54:09.016023,H,GRIEF_EXERCISE,P
1690224859017638000,19:54:19.018207,H,GRIEF_EXERCISE,P
1690224869019831000,19:54:29.020346,H,GRIEF_EXERCISE,P
1690224879021711000,19:54:39.021982,H,GRIEF_EXERCISE,P
1690224889023320000,19:54:49.023699,H,GRIEF_EXERCISE,P
1690224899024744000,19:54:59.025187,H,GRIEF_EXERCISE,P
1690224906284722000,19:55:06.285090,playing with shoes,GRIEF_EXERCISE,P
1690224909026198000,19:55:09.026646,H,GRIEF_EXERCISE,P
1690224919027884000,19:55:19.028443,H,GRIEF_EXERCISE,P
1690224929029557000,19:55:29.030146,H,GRIEF_EXERCISE,P
1690224939031273000,19:55:39.031863,H,GRIEF_EXERCISE,P
1690224949033382000,19:55:49.033762,H,GRIEF_EXERCISE,P
1690224959034408000,19:55:59.034901,H,GRIEF_EXERCISE,P
1690224969036775000,19:56:09.037358,H,GRIEF_EXERCISE,P
1690224979038914000,19:56:19.039373,H,GRIEF_EXERCISE,P
1690224989041449000,19:56:29.041980,H,GRIEF_EXERCISE,P
1690224999043566000,19:56:39.044148,H,GRIEF_EXERCISE,P
1690225009045778000,19:56:49.046353,H,GRIEF_EXERCISE,P
1690225019047944000,19:56:59.048491,H,GRIEF_EXERCISE,P
1690225029049962000,19:57:09.050321,H,GRIEF_EXERCISE,P
1690225039051818000,19:57:19.052283,H,GRIEF_EXERCISE,P
1690225049053939000,19:57:29.054512,H,GRIEF_EXERCISE,P
1690225059056142000,19:57:39.056640,H,GRIEF_EXERCISE,P
1690225069057207000,19:57:49.057806,H,GRIEF_EXERCISE,P
1690225079059408000,19:57:59.059985,H,GRIEF_EXERCISE,P
1690225089061611000,19:58:09.062127,H,GRIEF_EXERCISE,P
1690225099063651000,19:58:19.064209,H,GRIEF_EXERCISE,P
1690225109065833000,19:58:29.066351,H,GRIEF_EXERCISE,P
1690225119067910000,19:58:39.068422,H,UKULELE,P
