U_TIME,HUMAN_TIME,MESSAGE,STAGE
1689698061080539000,17:34:21.081567,H,RITUAL_DANCE
1689698071083218000,17:34:31.083873,H,RITUAL_DANCE
1689698081085591000,17:34:41.086962,H,RITUAL_DANCE
1689698091088595000,17:34:51.089254,H,RITUAL_DANCE
1689698101090797000,17:35:01.091500,H,RITUAL_DANCE
1689698111093429000,17:35:11.095418,H,RITUAL_DANCE
1689698121097461000,17:35:21.098057,H,RITUAL_DANCE
1689698131099623000,17:35:31.100269,H,RITUAL_DANCE
1689698141102048000,17:35:41.104097,H,RITUAL_DANCE
1689698151106418000,17:35:51.107140,H,RITUAL_DANCE
1689698161109292000,17:36:01.110219,H,RITUAL_DANCE
1689698171112485000,17:36:11.113215,H,RITUAL_DANCE
1689698181114830000,17:36:21.115544,H,RITUAL_DANCE
1689698191117119000,17:36:31.117768,H,RITUAL_DANCE
1689698201118885000,17:36:41.119512,H,RITUAL_DANCE
1689698211121092000,17:36:51.121717,H,RITUAL_DANCE
1689698221123257000,17:37:01.123969,H,RITUAL_DANCE
1689698231124628000,17:37:11.125321,H,RITUAL_DANCE
1689698241127558000,17:37:21.128469,H,RITUAL_DANCE
1689698251131171000,17:37:31.131854,H,RITUAL_DANCE
1689698261134206000,17:37:41.134856,H,RITUAL_DANCE
1689698271136331000,17:37:51.137044,H,RITUAL_DANCE
1689698281139054000,17:38:01.139678,H,RITUAL_DANCE
1689698291141551000,17:38:11.142211,H,RITUAL_DANCE
1689698301143805000,17:38:21.144511,H,RITUAL_DANCE
1689698311146204000,17:38:31.146872,H,RITUAL_DANCE
1689698321149221000,17:38:41.149916,H,RITUAL_DANCE
1689698331151475000,17:38:51.153066,H,RITUAL_DANCE
1689698341155892000,17:39:01.157537,H,RITUAL_DANCE
1689698351161495000,17:39:11.162200,H,RITUAL_DANCE
1689698361164592000,17:39:21.165299,H,RITUAL_DANCE
1689698371166877000,17:39:31.167512,H,RITUAL_DANCE
1689698381169102000,17:39:41.169713,H,RITUAL_DANCE
1689698391171172000,17:39:51.171766,H,RITUAL_DANCE
1689698401174339000,17:40:01.175802,H,NONE
