U_TIME,HUMAN_TIME,MESSAGE,STAGE,P/NP
1690216237594074000,17:30:37.595080,H,THE_DANCE,NP
1690216247596712000,17:30:47.597369,H,THE_DANCE,NP
1690216257598951000,17:30:57.599600,H,THE_DANCE,NP
1690216267601202000,17:31:07.601823,H,THE_DANCE,NP
1690216277603479000,17:31:17.604147,H,THE_DANCE,NP
1690216287605691000,17:31:27.606380,H,THE_DANCE,NP
1690216297607471000,17:31:37.607834,H,THE_DANCE,NP
1690216307609356000,17:31:47.610011,H,THE_DANCE,NP
1690216317611654000,17:31:57.612644,H,THE_DANCE,NP
1690216327623806000,17:32:07.624286,H,THE_DANCE,NP
1690216337625518000,17:32:17.626104,H,THE_DANCE,NP
1690216347627524000,17:32:27.628178,H,THE_DANCE,NP
1690216357628730000,17:32:37.629868,H,THE_DANCE,NP
1690216367630791000,17:32:47.631271,H,THE_DANCE,NP
1690216377631847000,17:32:57.632426,H,THE_DANCE,NP
1690216387633981000,17:33:07.634603,H,THE_DANCE,NP
1690216397636301000,17:33:17.637358,H,THE_DANCE,NP
1690216407638881000,17:33:27.639284,H,THE_DANCE,NP
1690216417640723000,17:33:37.641373,H,THE_DANCE,NP
1690216427641893000,17:33:47.642569,H,GRIEF_EXERCISE,P
1690216437644070000,17:33:57.644736,H,GRIEF_EXERCISE,P
1690216447645482000,17:34:07.646035,H,GRIEF_EXERCISE,P
1690216457647505000,17:34:17.648164,H,GRIEF_EXERCISE,P
1690216467649683000,17:34:27.650299,H,GRIEF_EXERCISE,P
1690216467911866000,17:34:27.912870,CHANGE_COSTUME,GRIEF_EXERCISE,P
1690216477651896000,17:34:37.652497,H,GRIEF_EXERCISE,P
1690216487653584000,17:34:47.653968,H,GRIEF_EXERCISE,P
1690216497655745000,17:34:57.656411,H,GRIEF_EXERCISE,P
1690216507658012000,17:35:07.658669,H,GRIEF_EXERCISE,P
1690216517660237000,17:35:17.660790,H,GRIEF_EXERCISE,P
1690216527661415000,17:35:27.662082,H,GRIEF_EXERCISE,P
1690216537662634000,17:35:37.663295,H,GRIEF_EXERCISE,P
1690216547664913000,17:35:47.665553,H,GRIEF_EXERCISE,P
1690216557673648000,17:35:57.674125,H,GRIEF_EXERCISE,P
1690216567675353000,17:36:07.675943,H,GRIEF_EXERCISE,P
1690216577677545000,17:36:17.678183,H,GRIEF_EXERCISE,P
1690216587679718000,17:36:27.680382,H,GRIEF_EXERCISE,P
1690216597681304000,17:36:37.681824,H,GRIEF_EXERCISE,P
1690216607683233000,17:36:47.683874,H,GRIEF_EXERCISE,P
1690216617685415000,17:36:57.686049,H,GRIEF_EXERCISE,P
1690216627687600000,17:37:07.688276,H,GRIEF_EXERCISE,P
1690216637689859000,17:37:17.690526,H,GRIEF_EXERCISE,P
1690216647692166000,17:37:27.692750,H,GRIEF_EXERCISE,P
1690216657694379000,17:37:37.695002,H,GRIEF_EXERCISE,P
1690216667696416000,17:37:47.696808,H,GRIEF_EXERCISE,P
1690216677697504000,17:37:57.697835,H,GRIEF_EXERCISE,P
1690216687698605000,17:38:07.699653,H,GRIEF_EXERCISE,P
1690216697699940000,17:38:17.700434,H,EATING_DRINKING,NP
1690216707701651000,17:38:27.702198,H,EATING_DRINKING,NP
1690216717703646000,17:38:37.704285,H,EATING_DRINKING,NP
1690216727705829000,17:38:47.706392,H,EATING_DRINKING,NP
1690216737707476000,17:38:57.707930,H,EATING_DRINKING,NP
1690216747709223000,17:39:07.709932,H,EATING_DRINKING,NP
1690216757711460000,17:39:17.712114,H,EATING_DRINKING,NP
1690216767713534000,17:39:27.714179,H,EATING_DRINKING,NP
1690216777715757000,17:39:37.716425,H,EATING_DRINKING,NP
1690216787717920000,17:39:47.718430,H,EATING_DRINKING,NP
1690216797719894000,17:39:57.720521,H,EATING_DRINKING,NP
1690216807721737000,17:40:07.722291,H,PLANT_CARE,NP
1690216817723686000,17:40:17.724241,H,PLANT_CARE,NP
1690216827725114000,17:40:27.725784,H,PLANT_CARE,NP
1690216828775698000,17:40:28.775976,PUT_ON_COSTUME,PLANT_CARE,NP
1690216837726383000,17:40:37.727023,H,PLANT_CARE,NP
1690216847728606000,17:40:47.729236,H,PLANT_CARE,NP
1690216857730268000,17:40:57.730735,H,PLANT_CARE,NP
1690216860885864000,17:41:00.886405,PERFORMER_TALK,PLANT_CARE,NP
1690216867732255000,17:41:07.732888,H,PLANT_CARE,NP
1690216877734462000,17:41:17.735152,H,PLANT_CARE,NP
1690216887736720000,17:41:27.737328,H,PLANT_CARE,NP
